Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5909877;Példa Fanni;Gyûrûzés;Budapest;P311461   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909878;Példa Fanni;Gyûrûzés;Budapest;P311462   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909879;Példa Fanni;Gyûrûzés;Budapest;P311463   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.09.14
5909880;Példa Fanni;Gyûrûzés;Budapest;P311464   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.14
5909881;Példa Fanni;Gyûrûzés;Budapest;P311465   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.09.15
5909882;Példa Fanni;Gyûrûzés;Budapest;P311466   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.22
5909883;Példa Fanni;Gyûrûzés;Budapest;P311467   ;Házi rozsdafarkú;Phoenicurus ochruros;Ismeretlen;2019.09.22
5909884;Példa Fanni;Gyûrûzés;Budapest;P311468   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.22
5909885;Példa Fanni;Gyûrûzés;Budapest;P311469   ;Barátposzáta;Sylvia atricapilla;Tojó;2019.09.22
5909886;Példa Fanni;Gyûrûzés;Budapest;P311470   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.22
5909887;Példa Fanni;Gyûrûzés;Budapest;P311471   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.09.22
5909888;Példa Fanni;Gyûrûzés;Budapest;P311472   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.09.22
5909889;Példa Fanni;Gyûrûzés;Budapest;P311473   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.09.22
5909890;Példa Fanni;Gyûrûzés;Budapest;P311474   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.09.22
5909891;Példa Fanni;Gyûrûzés;Budapest;P311475   ;Barátposzáta;Sylvia atricapilla;Hím;2019.09.22
5909892;Példa Fanni;Gyûrûzés;Budapest;P311476   ;Kerti poszáta;Sylvia borin;Ismeretlen;2019.09.22
5909893;Példa Fanni;Gyûrûzés;Budapest;P311477   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.09.22
5909894;Példa Fanni;Gyûrûzés;Budapest;P311478   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.09.22
5909895;Példa Fanni;Gyûrûzés;Budapest;P311479   ;Tengelic;Carduelis carduelis;Ismeretlen;2019.09.22
5910022;Példa Fanni;Gyûrûzés;Budapest;TA06728   ;Fekete rigó;Turdus merula;Tojó;2019.09.14
5910023;Példa Fanni;Gyûrûzés;Budapest;TA06729   ;Fekete rigó;Turdus merula;Hím;2019.09.14
5910024;Példa Fanni;Gyûrûzés;Budapest;TA06730   ;Fekete rigó;Turdus merula;Hím;2019.09.14
5910025;Példa Fanni;Gyûrûzés;Budapest;TA06731   ;Fekete rigó;Turdus merula;Hím;2019.09.22
5910026;Példa Fanni;Gyûrûzés;Budapest;TA06732   ;Fekete rigó;Turdus merula;Hím;2019.09.22
5910027;Példa Fanni;Gyûrûzés;Budapest;TA06733   ;Fekete rigó;Turdus merula;Hím;2019.09.22
